title,year,synopsis
Mighty Express: A Mighty Christmas,2020,The Mighty Express welcomes a new train and speeds into a snowstorm to deliver Santaâ€™s presents and save Christmas for all the kids in Tracksville.
MANK,2020,1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish “Citizen Kane.”
Selena: The Series,2020,Iconic Mexican-American performer Selena rises to fame as she and her family make sacrifices in order to achieve their lifelong dreams.
Christmas Crossfire,2020,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he&#39;s just met tries to find him."
Captain Underpants Mega Blissmas,2020,Christmas gets weird — really weird — after George and Harold go back in time to change up a few of their beloved holiday&#39;s traditions.
Body Cam,2020,"After the grisly death of her colleague, a police officer investigating the case discovers something supernatural is targeting the cops in her unit."
Just Another Christmas,2020,"Stuck in a time loop where it&#39;s forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what&#39;s important in life."
Chico Bon Bon and the Very Berry Holiday,2020,"The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster."
Break,2018,"After a serious accident, Lucie tries to rediscover herself as a dancer and meets Vincent, a talented b-boy battling his own insecurities."
Fierce,2020,"A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury."
Alien Worlds,2020,"Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets."
Angela&#39;s Christmas Wish,2020,"With her father working far away in Australia, a determined Angela makes a plan — and a heartfelt wish — to reunite her family in time for the holidays."
Dora and the Lost City of Gold,2019,"When her parents disappear during a search for an ancient city of gold, the exuberant teen explorer and her friends head into the jungle to save them."
Blue Story,2019,A gang war dooms the lifelong bond of south London friends in this acclaimed crime drama that features its writer-director as a rapping Greek chorus.
The Rhythm Section,2020,"Devastated when her family is killed in a plane crash, a woman steps into the dark labyrinth of international espionage in search of retribution."
Ava,2020,An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.
The 2nd,2020,"A Secret Service agent is drawn into a terrorist plot when his son&#39;s classmate, the daughter of a Supreme Court Justice, is targeted for kidnapping."
Ashfall,2019,"With the Korean peninsula under threat from a devastating volcanic eruption, unlikely allies carry out a secret mission to prevent the disaster."
Force of Nature,2020,Cops evacuating a hurricane-battered apartment complex team up with a ragtag group of tenants when a vicious criminal gang storms in to execute a heist.
The Postcard Killings,2020,"Following the murders of his daughter and son-in-law, a tortured NYPD detective travels to Europe, where he teams up with an investigative journalist."
Riding with Sugar,2020,"As painful memories spin in his head, a young refugee pedals toward a new future under a charitable mentor when fate challenges his BMX racing hopes."
Mosul,2020,"After his life is saved by a rogue Iraqi squadron, a young police officer joins them in their fight against ISIS in a decimated Mosul."
The Call,2020,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate."
The Beast,2020,"To rescue his daughter, an unstable Special Forces veteran unleashes his inner beast as he pursues her kidnappers â€” and soon becomes a suspect himself."
A Go! Go! Cory Carson Christmas,2020,"When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone."
Notes for My Son,2020,"Battling terminal cancer, a woman writes a one of a kind notebook about life, death and love for her son to remember her by. Based on a true story."
Hillbilly Elegy,2020,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future."
Dragons: Rescue Riders: Huttsgalor Holiday,2020,Snowfall marks the start of Odinyule — the Viking holiday of giving! But crazy weather might cancel the tradition unless the Rescue Riders can swoop in.
Voices of Fire,2020,"In this faith-based docuseries, Bishop Ezekiel Williams builds an inspiring, nontraditional gospel choir with the help of superstar nephew Pharrell."
Alien Xmas,2020,"A young elf mistakes a tiny alien for a Christmas gift, not knowing her new plaything has plans to destroy Earth&#39;s gravity â€” and steal all the presents."
Playing with Fire,2019,The inspiring story of classical music conductor Jeannette Sorrell and her baroque orchestra Apollo&#39;s Fire reveals the secrets of the maestra&#39;s art.
Rocketman,2019,"In rehab, pop star Elton John looks back at his humble origins, timeless songs and heady moments of inspiration and excess. Based on his true story."
The Princess Switch: Switched Again,2020,"When Margaret&#39;s Christmas coronation complicates her love life, her double Stacy steps in to save the day. But will a third look-alike ruin their plan?"
Gemini Man,2019,"A recently-retired sniper faces off with a younger, stronger, cloned version of himself that a covert government agency has engineered to kill him."
Crawl,2019,"While trying to save her dad during a hurricane, a woman becomes trapped in the flooded crawl space of their home as a deadly threat lurks in the water."
A Wizard&#39;s Tale,2018,"When a grumpy and gruff wizard casts a spell to end all happiness, a reluctant teen and a princess must save the magical realm from a lifetime of gloom."
Holiday Home Makeover with Mr. Christmas,2020,"Interior designer Benjamin “Mr. Christmas” Bradley works with a trusty team of ""elves” to help families transform their homes for the holidays."
We Are the Champions,2020,"Explore an array of unique competitions, from the quirky to the bizarre, and meet their passionate communities in this docuseries."
Beyblade Burst Rise,2020,"After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan — Beyblade&#39;s birthplace."
The Life Ahead,2020,A Holocaust survivor running a daycare business forms an unlikely friendship with a bitter street kid when she takes him in after he robs her.
Jingle Jangle: A Christmas Journey,2020,"Decades after his trusted apprentice betrayed him, a once-joyful toymaker finds new hope when his kind and curious granddaughter comes into his life."
Memories of a Teenager,2019,"To cope with a friend&#39;s death, a teen blogs about his daily life but falls further into an existential crisis while experiencing a sexual awakening."
Ludo,2020,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal."
Ethos,2020,A group of individuals in Istanbul transcend sociocultural boundaries and find connection as their fears and wishes intertwine.
The Liberator,2020,"A diverse, deeply brave crew of ragtag soldiers become some of the most heroic fighters of the European invasion in World War II. Based on true events."
Trial 4,2020,"Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism."
A Queen Is Born,2020,Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.
What We Wanted,2020,A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort — and the family next door only adds to the tension.
Trash Truck,2020,"Six-year old Hank and his best pal, a giant trash truck, explore the world around them on fantastical adventures with their animal friends."
DASH & LILY,2020,Opposites attract at Christmas as cynical Dash and sunny Lily trade messages and dares in a red notebook they pass back and forth around New York City.
Citation,2020,A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.
The SpongeBob Movie: Sponge on the Run,2020,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal."
Operation Christmas Drop,2020,A by-the-book political aide falls for a big-hearted Air Force pilot while looking to shut down his tropical base and its airborne Christmas tradition.
Carmel: Who Killed Maria Marta?,2020,"A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story."
Paranormal,2020,"After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations."
Peninsula,2020,"On a perilous mission back to zombie-decimated South Korea, a former soldier and his team encounter a family of survivors who seek escape."
The Secret: Dare to Dream,2020,"As she endures a storm of struggle, a widow meets an uplifting professor who hesitates to deliver a message that could change her life."
El rey del sapo,2019,"A young woman heads to Colombia in search of her father and funds for her mom, only to find herself in a sapo tournament and a wild family adventure."
Love & Anarchy,2020,A married consultant and a young IT tech kick off a flirty game that challenges societal norms â€” and leads them to re-evaluate their entire lives.
Tremors: Shrieker Island,2020,"When massive mutant creatures infiltrate an island nature preserve, scientists recruit a legendary monster hunter to battle the beasts."
Welcome to Sudden Death,2020,"At a basketball game, an ex-Special Forces officer must face a group of tech-savvy hostiles when a team owner and his daughter are taken hostage."
Wish Upon a Unicorn,2020,Sisters Mia and Emma move to their grandmotherâ€™s farm far from the city and save a magical unicorn from local cowboys seeking its powers for themselves.
Deadly Class,2019,"In 1980s San Francisco, a homeless teen is recruited to a storied private school where kids from crime families learn to master ""the deadly arts."""
A Belle for Christmas,2014,"When a recent widowerâ€™s new girlfriend tries to get rid of the family&#39;s new puppy, his two young kids step in to save their furry friend."
Christmas Under Wraps,2014,"After plans don&#39;t go her way, a meticulous doctor takes a job in a small Alaskan town with a holiday secret and a local who could change her life."
12 Gifts of Christmas,2015,"When a starving artist finds work as a personal shopper, she meets a stressed adman who becomes sold on more than her ability to buy holiday presents."
Christmas Land,2015,"When a busy New Yorker inherits her grandma&#39;s land, she must choose between selling or reviving a Christmas tree farm and holiday-themed village."
My Christmas Inn,2018,"On the brink of a huge job promotion, a woman inherits a cozy Alaskan inn, where the holiday traditions and a small-town attorney begin to charm her."
Christmas Wonderland,2018,A gallery curator revives passions artistic and otherwise when she returns to her hometown for the holidays and reunites with her high-school love.
Christmas Made To Order,2018,An architect hosting his family for Christmas hires a holiday coordinator who winds up bringing much more than festive decorations into his life.
Rogue City,2020,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands."
Guillermo Vilas: Settling the Score,2020,"An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s."
Blood of Zeus,2020,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army."
Secrets of the Saqqara Tomb,2020,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the extraordinary find."
His House,2020,"As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home."
Holidate,2020,"Fed up with being single on holidays, two strangers agree to be each other&#39;s platonic plus-ones all year long, only to catch real feelings along the way."
The Queen&#39;s Gambit,2020,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction."
Move,2020,Discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.
Barbarians,2020,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer&#39;s conflicted allegiances lead to an epic historical clash."
A Suitable Boy,2020,Modernity confronts tradition in post-Partition India as a young student resists an arranged marriage and a politician’s son has a transgressive affair.
Over the Moon,2020,"Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess."
Cadaver,2020,"When a peculiar hotel dinner show draws crowds during a postapocalyptic famine, one family discovers they&#39;ll pay much more than the price of admission."
Rebecca,2020,"A young newlywed moves to her husband&#39;s imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife."
The Magic School Bus Rides Again The Frizz Connection,2020,"Lightning splits the Magic School Bus into three pieces, scattering the class across the globe with different versions of Ms. Frizzle aboard each bus!"
Start-Up,2020,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea&#39;s high-tech industry.
Someone Has to Die,2020,"In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences."
Grand Army,2020,"Five students at the largest public high school in Brooklyn take on a chaotic world as they fight to succeed, survive, break free and seize the future."
Dream Home Makeover,2020,"Dreams come true for real families looking for the perfect home tailored to their own unique style, thanks to Shea and Syd McGee of Studio McGee."
The Trial of the Chicago 7,2020,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.
Social Distance,2020,"Filmed in isolation, this narrative anthology series features both dark and funny takes on how people strive to stay connected while staying apart."
Rooting for Roona,2020,"In rural India, a child with hydrocephalus gets a chance at life-changing surgery after her photos go viral. This documentary charts her journey."
A Babysitter&#39;s Guide to Monster Hunting,2020,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she&#39;s watching on Halloween."
Bureau of Magical Things,2020,"When a teen accidentally discovers an enchanted realm, she becomes the only one able to unite the human and magical worlds – and save both from evil."
Octonauts & the Great Barrier Reef,2020,"In this musical special, the Octonauts must find a way to hold back hungry swarms of coral-eating starfish to save a new friend’s fragile reef home."
The Three Deaths of Marisela Escobedo,2020,This documentary examines a mother&#39;s tireless crusade to jail her daughter&#39;s murderer after Mexico&#39;s justice system failed to do so.
Palermo Hollywood,2004,A pair of petty criminals from different backgrounds get tangled up in a gangster&#39;s kidnapping scheme that goes awry.
The Haunting of Bly Manor,2020,"Dead doesn&#39;t mean gone. An au pair plunges into an abyss of chilling secrets in this gothic romance from the creator of ""The Haunting of Hill House."""
Deaf U,2020,"In this reality series, a tight-knit group of Deaf and hard of hearing students share their stories and explore life at Gallaudet University."
The Forty-Year-Old Version,2020,"Desperate for a breakthrough as she nears the big 4-0, struggling New York City playwright Radha finds inspiration by reinventing herself as a rapper."
To the Lake,2020,"Facing the end of civilization when a terrifying plague strikes, a group risks their lives, loves — and humanity — in a brutal struggle to survive."
Hubie Halloween,2020,"Hubie&#39;s not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe."
Honey Boy,2019,"A movie star struggling with addiction must look back at a childhood shaped by his unpredictable father, a one-time rodeo clown."
Blumhouse&#39;s Fantasy Island,2020,"When the host of a mysterious island resort promises to fulfill the fantasies of several guests, their visit turns into a nightmarish ordeal to survive."
Bad Boy Billionaires: India,2020,"This investigative docuseries explores the greed, fraud and corruption that built up — and ultimately brought down — India’s most infamous tycoons."
David Attenborough: A Life on Our Planet,2020,"A broadcaster recounts his life, and the evolutionary history of life on Earth, to grieve the loss of wild places and offer a vision for the future."
Song Exploder,2020,Get inspired as musicians dig deep into the creative process of songwriting and reveal their intimate thoughts in a series based on the hit podcast.
Emily in Paris,2020,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance."
The Binding,2020,"While visiting her fiancÃ©&#39;s mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter."
Vampires vs. the Bronx,2020,Three gutsy kids from a rapidly gentrifying Bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community.
You&#39;ve Got This,2020,An ad creative and a successful exec have a great marriage — until he wants to be a dad just as her star is rising. Then he brings someone new home.
Dick Johnson Is Dead,2020,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
Under the Same Roof,2019,"When two fed-up spouses finally file for divorce, they realize that their mortgage will force them to cohabitate much longer than either person wants."
A Madea Family Funeral,2019,Madea heads to small-town Georgia for an anniversary party that soon turns into an elaborate funeral and leaves the whole family in comical shambles.
Secreto bien guardado,2019,"In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel."
Ricky Zoom,2019,Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!
Code Lyoko,2007,"After discovering a parallel universe hidden inside a supercomputer, four students must stop a renegade virus from destroying the secret world."
The Boys in the Band,2020,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths."
American Murder: The Family Next Door,2020,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed."
"Whose Vote Counts, Explained",2020,"The right to vote is at the foundation of America&#39;s democracy. But not every vote is created equal. How does the system work, and can it be fixed?"
The School Nurse Files,2020,"Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see."
Sneakerheads,2020,Family man Devin falls back into his sneaker obsession after his pal Bobby talks him into a wheeling-dealing scheme to score a mythical pair of kicks.
A Perfect Crime,2020,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany&#39;s tumultuous reunification."
Enola Holmes,2020,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord."
The Playbook,2020,Coaches with championship résumés share their personal rules for success in sports and life in this reflective and inspiring documentary series.
Mighty Express,2020,Catch a ride with the Mighty Express â€” a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!
A Love Song for Latasha,2020,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old&#39;s life and dreams.
Rojo,2018,"In a quiet town, a lawyer tries to keep his seemingly respectable life intact after an altercation with a twitchy stranger takes an ominous turn."
Ratched,2020,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness."
The Last Word,2020,"Suddenly a widow, a woman rekindles her thirst for life by becoming a eulogist while navigating the existential landscape of death, grief and love."
Jurassic World Camp Cretaceous,2020,Six teens invited to attend a state-of-the-art adventure camp on Isla Nublar must band together to survive when the dinosaurs break out of captivity.
Dragon&#39;s Dogma,2020,"Resurrected as an Arisen, Ethan sets out to vanquish the Dragon that took his heart. But with every demon he battles, his humanity slips further away."
Challenger,2020,"Engineers, officials and the crew members&#39; families provide their perspective on the 1986 Space Shuttle Challenger disaster and its aftermath."
The American Barbecue Showdown,2020,Eight of the country&#39;s best backyard smokers and pitmasters vie for the title of American Barbecue Champion in a fierce but friendly faceoff.
The Paramedic,2020,"Unable to face his new reality in a wheelchair, Ángel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot."
GIMS: On the Record,2020,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.
The Devil All The Time,2020,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
Izzy&#39;s Koala World,2020,Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia’s Magnetic Island.
Close Enough,2020,A married couple tries to keep ⁠— and stay ⁠— cool as they move on from partying in their 20s to parenting in their 30s in this adult animated series.
The Lighthouse,2019,A lighthouse keeper in 1890s New England begins to suspect that his veteran partner is dangerously unhinged â€“ but he&#39;s hiding some secrets of his own.
Pets United,2020,A street-smart dog and a pampered cat join forces to lead a pack of unlikely heroes when their city is seized by its evil mayor — and his robot army.
The Barrier,2020,One family’s fight for survival in a future dystopian Madrid illustrates the disparity between two worlds separated by a fence — and so much more.
The Duchess,2020,"Katherine&#39;s a single mom juggling her career, her tween daughter, her relationship with her boyfriend — and pondering getting pregnant with her ex."
Dad Wanted,2020,What does a thrill-seeker tween girl do when her mom forbids her to enter a BMX race? Cast an actor with nothing to lose to play her approving dad.
The Babysitter: Killer Queen,2020,"Two years after Cole survived a satanic blood cult, he&#39;s living another nightmare: high school. And the demons from his past? Still making his life hell."
The Idhun Chronicles,2020,"A boy suddenly orphaned fights his parents&#39; killer to save a planet, and discovers a new world of danger — and wonder."
Julie and the Phantoms,2020,"Julie lost her passion for music when she lost her mom. But when three ghostly guys appear and lift her spirits, they decide to start a band together!"
So Much Love to Give,2020,Fernando is a family man — equally committed to each of his two families. But one wrong turn brings them crashing together.
Cuties,2020,Eleven-year-old Amy starts to rebel against her conservative family’s traditions when she becomes fascinated with a free-spirited dance crew.
Get Organized with The Home Edit,2020,"Expert home organizers Clea and Joanna help celebrities and everyday clients edit, categorize and contain their clutter to create stunning spaces."
The Social Dilemma,2020,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations."
Record of Youth,2020,Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.
My Octopus Teacher,2020,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world."
"Take the Ball, Pass the Ball",2018,"Through firsthand accounts and analysis, this football documentary details the dominance of FC Barcelona from 2008-2012 under manager Pep Guardiola."
Santa in Training,2019,"Two quirky elves are sent from the North Pole to train the next Santa Claus, but the chosen one is a grouchy man who hates Christmas."
Anastasia,2019,"After escaping a threat with a time portal, a Russian princess seeks a way to save her family back in time as a teen helps her navigate 1980s America."
Away,2020,Commander Emma Green leaves behind her husband and daughter to lead an international crew of astronauts on a perilous three-year mission to Mars.
I&#39;m Thinking of Ending Things,2020,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.
Young Wallander,2020,"An incendiary hate crime stirs civil unrest, fast-tracking rookie cop Kurt Wallander to detective in this origin story for the popular character."
"Love, Guaranteed",2020,Sparks fly when a crusading but cash-strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love.
Silencio Roto,2001,Tensions simmer as a small Spanish town in 1944 is split between Republican loyalists and supporters of newly formed fascism under Franco.
Don&#39;t Be Afraid,2011,"Reeling from trauma caused by childhood sexual abuse, a woman seeks help from a psychologist as she tries to find confidence and comfort with intimacy."
Obaba,2005,"In the small Basque town of Obaba, university student Lourdes films a documentary for an assignment. As she records the locals&#39; stories, she comes to understand not only the eccentric villagers and the mysteries of Obaba, but also more of herself."
Chrysalis,2011,Three interwoven stories of women from different time periods highlight the emotional hardships they each endure after drastic turns in their lives.
Chef&#39;s Table: BBQ,2020,"The Emmy-nominated series delves into the juicy, smoky world of barbecue, visiting acclaimed chefs and pitmasters in the US, Australia and Mexico."
Barbie Princess Adventure,2020,"With new friends in a new kingdom, Barbie learns what it means to be herself when she trades places with a royal lookalike in this musical adventure."
Bookmarks,2020,"Celebrity readers share children&#39;s books by Black authors to spark kid-friendly conversations about empathy, equality, self-love and antiracism."
The Boss Baby: Get That Baby!,2020,Think you&#39;ve got what it takes to be the boss? This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp.
The Match,2020,"One football match on a dirt pitch near Rome becomes a day of reckoning as a young player, his coach and their team&#39;s owner wrestle internal demons."
True: Friendship Day,2020,"When a giant Grippity-Grab snags Grizelda’s friendship bracelet and turns her into a mermaid, True heads under the sea with magic wishes to save the day."
Santana,2020,Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.
I AM A KILLER: RELEASED,2020,"In this crime docuseries spinoff, a convict is paroled 30 years after being sentenced to death for murder. Then he makes a stunning confession."
Unknown Origins,2020,A very chiseled but somber detective must find a serial killer who leaves clues that only his mentor&#39;s nerdy comics-loving son can decipher.
Cobra Kai,2020,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films."
All Together Now,2020,"An optimistic, talented teen clings to a huge secret: She&#39;s homeless and living on a bus. When tragedy strikes, can she learn to accept a helping hand?"
Her Mother&#39;s Killer,2020,"Nearly 30 years after her mom&#39;s murder, a political strategist launches a calculated plan to ruin the Colombian presidential candidate who killed her."
Rising Phoenix,2020,"Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability, diversity and excellence."
Million Dollar Beach House,2020,The competition is fierce — and the drama undeniable — as a group of young and hungry agents try to seal the deal on luxury listings in the Hamptons.
Emily&#39;s Wonder Lab,2020,"Science-loving host Emily Calandrelli makes STEAM fun with activities, demonstrations and at-home experiments that&#39;ll make you think â€” and blow your mind!"
Hoops,2020,A foul-mouthed high school basketball coach is sure he&#39;ll hit the big leagues if he can only turn his terrible team around. Good luck with that.
Alien TV,2020,"Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies."
Dark Forces,2020,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress."
The Sleepover,2020,What do you do if your parents are kidnapped by a crew of international thieves? You begin a wild overnight adventure â€” complete with spy gear.
Biohackers,2020,A medical student enters a top German university on a secret mission to uncover a conspiracy linking a family tragedy to a visionary biology professor.
The Crimes That Bind,2020,"When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever."
John Was Trying to Contact Aliens,2020,"A rural electronics whiz broadcasts radio signals into space and monitors for signs of aliens, but makes a more important connection here on Earth."
Bloodshot,2020,A dead soldier is resurrected with new biotechnology and embarks on a mission of revenge in this sci-fi action drama based on the comic book series.
High Score,2020,"This docuseries traces the history of classic video games, featuring insights from the innovators who brought these worlds and characters to life."
DeMarcus Family Rules,2020,Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.
An Easy Girl,2019,A teen girl is drawn to her cousin’s hedonistic lifestyle when they spend the summer together in Cannes as she learns about herself and her own values.
Octonauts & the Caves of Sac Actun,2020,"The Octonauts embark on an underwater adventure, navigating a set of challenging caves to help a small octopus friend return home to the Caribbean Sea."
Teenage Bounty Hunters,2020,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.
The Great Heist,2020,"In 1994, a team of thieves plans an ambitious heist to steal millions from Colombia&#39;s Bank of the Republic. Inspired by true events."
Project Power,2020,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers."
Fearless,2020,A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.
(Un)Well,2020,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?"
Kongsuni and Friends,2017,A bright-eyed girl and her magical owl sidekick find adventure when enchanting powers and creative ideas lead to important lessons.
Word Party Songs,2020,"Sing along and dance with Bailey, Franny, Kip, Lulu and Tilly in this collection of music videos that will get you in the mood to move and groove!"
Work It,2020,A brilliant but clumsy high school senior vows to get into her late father’s alma mater by transforming herself and a misfit squad into dance champions.
Tiny Creatures,2020,Little animals embark on big adventures across the U.S. in a dramatic nature series that explores their hidden worlds and epic survival stories.
The Magic School Bus Rides Again Kids In Space,2020,The Magic School Bus kids blast into orbit — and onto the International Space Station — only to find themselves on the run from a giant tardigrade!
Nasha Natasha,2020,Concert and behind-the-scenes footage capture life on tour for Uruguayan sensation Natalia Oreiro as she performs for packed crowds throughout Russia.
Anelka: Misunderstood,2020,"Inscrutable, incomparable or both? Famed French footballer Nicolas Anelka’s controversial legacy is explored in this in-depth documentary."
World&#39;s Most Wanted,2020,"Suspected of heinous crimes, they’ve avoided capture despite massive rewards and global investigations. A docuseries profiling the world’s most wanted."
Malibu Rescue: The Next Wave,2020,"As summer returns to Malibu, Team Flounder takes to the beach to host — and unexpectedly compete in — the International Beachmaster Competition."
Immigration Nation,2020,"With unprecedented access to ICE operations, as well as moving portraits of immigrants, this docuseries takes a deep look at US immigration today."
Connected,2020,"Science journalist Latif Nasser investigates the surprising and intricate ways in which we are connected to each other, the world and the universe."
No Manches Frida,2016,"Newly released from prison, an ex-con takes up a job as a substitute teacher at the high school where his secret stash of cash is hidden."
Km 31-2,2016,"When a spree of child abductions grips Mexico City, a police officer notices an eerie connection to a case he worked on seven years prior."
The Grudge,2020,"An investigator follows the trail of a grisly case back to a cursed house harboring a tangled, gruesome history — and an ugly, boundless rage."
Bad Boys for Life,2020,"Even bad boys grow up, and Miami cop Marcus is ready for his well-deserved retirement â€” until partner Mike is targeted by a cutthroat drug cartel."
Hasta que la boda nos separe,2018,"With the help of a planner, Daniel and Maria set out to make their dream beachside wedding a reality â€” until families step in with their own opinions."
Super Monsters: The New Class,2020,"A new class of pint-sized preschoolers arrives at Pitchfork Pines, and the Super Monsters take their superpowers to the next level â€” the Purple Room!"
My Perfect Landing,2020,Everything changes for talented young gymnast Jenny Cortez when she moves with her family from Miami to Toronto to open a new gymnastics club.
Get Even,2020,"In a secret act of skillful revenge, four private school classmates team up and work together to expose a string of schoolwide injustices."
Transformers: War For Cybertron Trilogy,2020,"As the Autobots and Decepticons ravage their planet in a brutal civil war, two iconic leaders emerge in the Transformers universe&#39;s origin story."
Sugar High,2020,"Talented sugar artists compete for $10,000 over two rounds of competition — candy and sugar sculpture — in this ""Sugar Rush"" spinoff special."
Seriously Single,2020,"While her free-living bestie urges her to embrace singlehood, a commitment-craving social media expert can&#39;t stop following the life of a former love."
The Speed Cubers,2020,This documentary captures the extraordinary twists and turns in the journeys of Rubik&#39;s Cube-solving champions Max Park and Feliks Zemdegs.
